"data","Depth"
2005 jan,4.54
2005 fev,5.90214285714286
2005 mar,7.99806451612903
2005 abr,8.376
2005 mai,7.32225806451613
2005 jun,6.17033333333333
2005 jul,5.28387096774194
2005 ago,3.93129032258065
2005 set,2.185
2005 out,1.60096774193548
2005 nov,1.928
2005 dez,3.92677419354839
2006 jan,6.31
2006 fev,6.9175
2006 mar,8.6758064516129
2006 abr,9.367
2006 mai,8.91225806451613
2006 jun,7.36966666666667
2006 jul,6.20290322580645
2006 ago,4.92161290322581
2006 set,3.21433333333333
2006 out,2.42451612903226
2006 nov,3.115
2006 dez,3.86193548387097
2007 jan,5.28129032258065
2007 fev,7.19535714285714
2007 mar,8.12258064516129
2007 abr,7.462
2007 mai,6.9458064516129
2007 jun,6.457
2007 jul,5.81451612903226
2007 ago,5.03161290322581
2007 set,3.44633333333333
2007 out,2.10290322580645
2007 nov,2.23833333333333
2007 dez,3.70645161290323
2008 jan,6.31
2008 fev,6.96172413793103
2008 mar,8.6758064516129
2008 abr,9.367
2008 mai,8.91225806451613
2008 jun,7.36966666666667
2008 jul,6.20290322580645
2008 ago,4.92161290322581
2008 set,3.21433333333333
2008 out,2.42451612903226
2008 nov,3.115
2008 dez,3.86193548387097
2009 jan,5.02870967741935
2009 fev,7.05035714285714
2009 mar,8.06935483870968
2009 abr,8.85233333333333
2009 mai,7.89645161290323
2009 jun,6.861
2009 jul,6.2041935483871
2009 ago,5.0858064516129
2009 set,3.242
2009 out,1.96096774193548
2009 nov,3.05966666666667
2009 dez,3.92064516129032
2010 jan,5.95
2010 fev,7.33285714285714
2010 mar,7.31838709677419
2010 abr,7.88666666666667
2010 mai,6.73709677419355
2010 jun,6.32533333333333
2010 jul,5.55322580645161
2010 ago,4.42387096774194
2010 set,2.44466666666667
2010 out,1.50483870967742
2010 nov,2.03766666666667
2010 dez,3.19870967741935
2011 jan,5.02870967741935
2011 fev,7.05035714285714
2011 mar,8.06935483870968
2011 abr,8.81966666666667
2011 mai,7.89645161290323
2011 jun,6.861
2011 jul,6.2041935483871
2011 ago,5.0858064516129
2011 set,3.242
2011 out,1.96096774193548
2011 nov,3.05966666666667
2011 dez,3.92064516129032
2012 jan,6.34774193548387
2012 fev,8.32137931034483
2012 mar,8.91903225806452
2012 abr,8.47366666666667
2012 mai,7.88032258064516
2012 jun,7.16333333333333
2012 jul,6.31870967741935
2012 ago,5.29
2012 set,3.46166666666667
2012 out,2.15967741935484
2012 nov,2.334
2012 dez,3.97032258064516
2013 jan,4.74870967741936
2013 fev,7.39642857142857
2013 mar,8.47870967741935
2013 abr,8.41433333333333
2013 mai,8.18225806451613
2013 jun,7.19933333333333
2013 jul,6.34129032258064
2013 ago,5.40096774193548
2013 set,4.473
2013 out,2.60935483870968
2013 nov,2.334
2013 dez,3.97032258064516
2014 jan,5.65774193548387
2014 fev,7.80892857142857
2014 mar,9.11451612903226
2014 abr,9.787
2014 mai,8.81516129032258
2014 jun,7.70233333333333
2014 jul,6.99548387096774
2014 ago,6.2241935483871
2014 set,4.99166666666667
2014 out,3.27806451612903
2014 nov,2.96666666666667
2014 dez,4.13645161290323
2015 jan,4.98064516129032
2015 fev,6.23892857142857
2015 mar,7.85129032258065
2015 abr,8.372
2015 mai,8.22516129032258
2015 jun,7.458
2015 jul,6.86129032258065
2015 ago,6.12935483870968
2015 set,4.96966666666667
2015 out,2.81387096774194
2015 nov,1.93033333333333
2015 dez,1.92967741935484
2016 jan,3.17709677419355
2016 fev,4.46413793103448
2016 mar,5.26096774193548
2016 abr,6.489
2016 mai,5.81225806451613
2016 jun,5.54033333333333
2016 jul,5.18709677419355
2016 ago,4.52096774193548
2016 set,3.261
2016 out,1.99516129032258
2016 nov,2.41233333333333
2016 dez,3.42967741935484
2017 jan,5.19548387096774
2017 fev,7.48107142857143
2017 mar,8.61967741935484
2017 abr,8.64566666666667
2017 mai,7.79
2017 jun,6.83933333333333
2017 jul,6.05193548387097
2017 ago,5.0458064516129
2017 set,2.98233333333333
2017 out,1.82838709677419
2017 nov,2.28066666666667
2017 dez,3.79516129032258
2018 jan,5.15
2018 fev,7.06392857142857
2018 mar,8.01451612903226
2018 abr,8.62666666666667
2018 mai,7.51516129032258
2018 jun,6.66533333333333
2018 jul,6.08516129032258
2018 ago,5.34064516129032
2018 set,4.20633333333333
2018 out,2.69677419354839
2018 nov,2.54866666666667
2018 dez,4.95838709677419
2019 jan,5.8441935483871
2019 fev,6.71357142857143
2019 mar,8.47225806451613
2019 abr,9.06933333333333
2019 mai,8.58903225806452
2019 jun,7.81466666666667
2019 jul,6.99193548387097
2019 ago,5.68516129032258
2019 set,4.384
2019 out,2.78645161290323
2019 nov,2.89333333333333
2019 dez,4.04322580645161
